iter	Passed	Remaining
400	21603	21496
401	21656	21440
402	21710	21387
403	21760	21329
404	21811	21273
405	21875	21229
406	21926	21172
407	21979	21117
408	22033	21063
409	22088	21010
410	22143	20958
411	22196	20903
412	22248	20847
413	22301	20793
414	22355	20739
415	22412	20688
416	22468	20636
417	22525	20585
418	22579	20531
419	22632	20477
420	22691	20427
421	22744	20373
422	22795	20316
423	22847	20260
424	22896	20202
425	22949	20148
426	23003	20094
427	23055	20038
428	23108	19984
429	23167	19934
430	23219	19879
431	23271	19823
432	23323	19768
433	23384	19720
434	23441	19669
435	23493	19613
436	23543	19556
437	23593	19499
438	23648	19446
439	23698	19389
440	23752	19335
441	23808	19283
442	23860	19228
443	23912	19173
444	23968	19120
445	24022	19067
446	24075	19012
447	24127	18957
448	24184	18905
449	24236	18850
450	24296	18801
451	24348	18745
452	24399	18689
453	24447	18631
454	24501	18577
455	24558	18526
456	24610	18471
457	24665	18418
458	24721	18365
459	24774	18311
460	24830	18259
461	24882	18203
462	24936	18150
463	24991	18097
464	25043	18041
465	25093	17985
466	25144	17929
467	25195	17873
468	25250	17820
469	25305	17767
470	25357	17712
471	25409	17657
472	25465	17605
473	25522	17553
474	25577	17500
475	25627	17443
476	25677	17387
477	25730	17332
478	25787	17281
479	25842	17228
480	25893	17172
481	25946	17118
482	26001	17064
483	26057	17012
484	26108	16956
485	26161	16902
486	26218	16851
487	26272	16797
488	26325	16742
489	26379	16688
490	26434	16635
491	26493	16585
492	26553	16535
493	26614	16485
494	26676	16437
495	26739	16388
496	26802	16340
497	26861	16289
498	26916	16236
499	26971	16183
500	27029	16131
501	27085	16078
502	27138	16023
503	27194	15971
504	27248	15917
505	27306	15865
506	27371	15818
507	27423	15762
508	27475	15707
509	27526	15652
510	27578	15597
511	27630	15541
512	27685	15488
513	27734	15431
514	27787	15377
515	27838	15321
516	27898	15271
517	27948	15215
518	27998	15159
519	28053	15105
520	28103	15049
521	28153	14993
522	28204	14938
523	28258	14884
524	28310	14829
525	28360	14773
526	28414	14719
527	28470	14666
528	28524	14612
529	28576	14557
530	28630	14503
531	28681	14448
532	28734	14394
533	28784	14338
534	28834	14282
535	28889	14228
536	28945	14176
537	29002	14123
538	29055	14069
539	29104	14013
540	29159	13959
541	29212	13905
542	29264	13850
543	29314	13795
544	29365	13739
545	29418	13685
546	29474	13632
547	29526	13578
548	29580	13523
549	29635	13470
550	29688	13416
551	29740	13361
552	29793	13307
553	29848	13253
554	29901	13199
555	29955	13145
556	30012	13093
557	30067	13040
558	30122	12986
559	30175	12932
560	30229	12878
561	30282	12824
562	30335	12770
563	30385	12714
564	30438	12660
565	30502	12610
566	30580	12566
567	30640	12515
568	30693	12460
569	30742	12404
570	30797	12351
571	30854	12298
572	30915	12247
573	30976	12196
574	31039	12146
575	31095	12092
576	31149	12038
577	31202	11984
578	31255	11930
579	31307	11875
580	31361	11821
581	31411	11765
582	31466	11712
583	31519	11657
584	31571	11603
585	31626	11549
586	31682	11496
587	31746	11445
588	31812	11396
589	31872	11344
590	31943	11296
591	32009	11246
592	32076	11196
593	32138	11145
594	32195	11092
595	32250	11038
596	32300	10983
597	32355	10929
598	32411	10876
599	32462	10820
600	32515	10766
601	32568	10712
602	32623	10658
603	32675	10603
604	32732	10550
605	32790	10497
606	32849	10444
607	32907	10391
608	32963	10338
609	33015	10283
610	33073	10230
611	33129	10176
612	33184	10123
613	33237	10068
614	33290	10014
615	33346	9960
616	33397	9905
617	33454	9852
618	33517	9800
619	33581	9749
620	33640	9696
621	33704	9645
622	33766	9593
623	33816	9538
624	33868	9483
625	33921	9428
626	33973	9373
627	34023	9318
628	34080	9265
629	34129	9209
630	34179	9154
631	34233	9100
632	34289	9046
633	34343	8992
634	34392	8936
635	34441	8881
636	34495	8826
637	34546	8771
638	34599	8717
639	34650	8662
640	34700	8607
641	34754	8553
642	34807	8498
643	34859	8444
644	34908	8388
645	34960	8334
646	35014	8280
647	35074	8227
648	35131	8173
649	35184	8119
650	35235	8064
651	35290	8010
652	35342	7956
653	35393	7901
654	35446	7846
655	35497	7792
656	35548	7737
657	35600	7682
658	35653	7628
659	35704	7573
660	35756	7519
661	35813	7465
662	35865	7411
663	35919	7357
664	35976	7303
665	36030	7249
666	36081	7194
667	36133	7140
668	36185	7085
669	36240	7031
670	36292	6977
671	36345	6922
672	36398	6868
673	36450	6814
674	36499	6759
675	36553	6705
676	36604	6650
677	36658	6596
678	36708	6541
679	36761	6487
680	36815	6433
681	36869	6379
682	36924	6325
683	36980	6271
684	37031	6216
685	37082	6162
686	37139	6108
687	37190	6054
688	37241	5999
689	37295	5945
690	37347	5891
691	37399	5836
692	37454	5783
693	37505	5728
694	37555	5673
695	37610	5619
696	37660	5565
697	37711	5510
698	37764	5456
699	37819	5402
700	37872	5348
701	37923	5294
702	37978	5240
703	38032	5186
704	38081	5131
705	38132	5077
706	38188	5023
707	38242	4969
708	38296	4915
709	38349	4861
710	38403	4807
711	38451	4752
712	38502	4698
713	38556	4644
714	38607	4589
715	38658	4535
716	38709	4480
717	38761	4426
718	38813	4372
719	38869	4318
720	38919	4264
721	38971	4210
722	39026	4156
723	39080	4102
724	39130	4048
725	39181	3993
726	39232	3939
727	39288	3885
728	39339	3831
729	39390	3777
730	39443	3723
731	39497	3669
732	39548	3614
733	39600	3560
734	39654	3506
735	39708	3452
736	39760	3398
737	39812	3344
738	39865	3290
739	39918	3236
740	39970	3182
741	40019	3128
742	40074	3074
743	40126	3020
744	40181	2966
745	40234	2912
746	40289	2858
747	40339	2804
748	40390	2750
749	40441	2696
750	40492	2642
751	40541	2587
752	40595	2533
753	40647	2479
754	40700	2425
755	40760	2372
756	40821	2318
757	40881	2265
758	40943	2211
759	40997	2157
760	41056	2104
761	41118	2050
762	41187	1997
763	41253	1943
764	41314	1890
765	41367	1836
766	41420	1782
767	41474	1728
768	41530	1674
769	41587	1620
770	41642	1566
771	41695	1512
772	41745	1458
773	41801	1404
774	41850	1350
775	41902	1295
776	41954	1241
777	42009	1187
778	42061	1133
779	42112	1079
780	42167	1025
781	42220	971
782	42274	917
783	42327	863
784	42385	809
785	42446	756
786	42510	702
787	42566	648
788	42619	594
789	42672	540
790	42732	486
791	42793	432
792	42848	378
793	42908	324
794	42965	270
795	43017	216
796	43071	162
797	43122	108
798	43176	54
799	43228	0
